Year,113 Cause Name,Cause Name,State,Deaths,Population,Death Rate
2016,All Causes,All causes,AL,52466,4802982,0.010923630361305
2016,All Causes,All causes,AK,4494,721523,0.006228491676634
2016,All Causes,All causes,AZ,56645,6412700,0.008833252764046
2016,All Causes,All causes,AR,31756,2926229,0.010852192360885
2016,All Causes,All causes,CA,262240,37341989,0.007022657523679
2016,All Causes,All causes,CO,37530,5044930,0.007439151782086
2016,All Causes,All causes,CT,30543,3581628,0.008527686292379
2016,All Causes,All causes,DE,8874,900877,0.009850401331147
2016,All Causes,All causes,DC,5037,601723,0.008370961389211
2016,All Causes,All causes,FL,197313,18900773,0.01043941430332
2016,All Causes,All causes,GA,81428,9727566,0.00837085042651
2016,All Causes,All causes,HI,10913,1366862,0.007983980826155
2016,All Causes,All causes,ID,13366,1573499,0.008494444546835
2016,All Causes,All causes,IL,107020,12864380,0.008319095051608
2016,All Causes,All causes,IN,63473,6501582,0.00976270083189
2016,All Causes,All causes,IA,29538,3053787,0.009672580307664
2016,All Causes,All causes,KS,26245,2863813,0.009164355354208
2016,All Causes,All causes,KY,47827,4350606,0.010993181179817
2016,All Causes,All causes,LA,44306,4553962,0.009729110607423
2016,All Causes,All causes,ME,14182,1333074,0.01063856920171
2016,All Causes,All causes,MD,48824,5789929,0.008432573180086
2016,All Causes,All causes,MA,56961,6559644,0.008683550509753
2016,All Causes,All causes,MI,96231,9911626,0.009708901445636
2016,All Causes,All causes,MN,43078,5314879,0.008105170409336
2016,All Causes,All causes,MS,31741,2978240,0.010657636725046
2016,All Causes,All causes,MO,59873,6011478,0.00995978027367
2016,All Causes,All causes,MT,9905,994416,0.009960620102653
2016,All Causes,All causes,NE,16217,1831825,0.008852919902283
2016,All Causes,All causes,NV,23902,2709432,0.008821775191258
2016,All Causes,All causes,NH,12203,1321445,0.009234587894313
2016,All Causes,All causes,NJ,73155,8807501,0.00830598827068
2016,All Causes,All causes,NM,18365,2067273,0.008883683964334
2016,All Causes,All causes,NY,154358,19421055,0.007947971930464
2016,All Causes,All causes,NC,90465,9565781,0.009457147304543
2016,All Causes,All causes,ND,6242,675905,0.0092350256323
2016,All Causes,All causes,OH,119572,11568495,0.010336003084239
2016,All Causes,All causes,OK,39276,3764882,0.010432199468669
2016,All Causes,All causes,OR,35778,3848606,0.00929635301717
2016,All Causes,All causes,PA,133040,12734905,0.010446878088215
2016,All Causes,All causes,RI,9735,1055247,0.009225328288069
2016,All Causes,All causes,SC,48130,4645975,0.010359504732591
2016,All Causes,All causes,SD,7845,819761,0.009569862435515
2016,All Causes,All causes,TN,67857,6375431,0.010643515708977
2016,All Causes,All causes,TX,191966,25268418,0.007597072361238
2016,All Causes,All causes,UT,17913,2770765,0.006465001542895
2016,All Causes,All causes,VT,5909,630337,0.009374350545819
2016,All Causes,All causes,VA,66473,8037736,0.008270114868167
2016,All Causes,All causes,WA,54769,6753369,0.008109878195609
2016,All Causes,All causes,WV,22732,1859815,0.012222721077096
2016,All Causes,All causes,WI,51815,5698230,0.009093174547184
2016,All Causes,All causes,WY,4722,568300,0.00830899172972
